Gene	Full Name	Cancer Type(s)	Literature Support
TNFRSF10C	TNF receptor superfamily member 10c	Colo	level B
MTMR1	myotubularin related protein 1	Lymph	level D
BRD8	bromodomain containing 8	GaEso	level C
NBEA	neurobeachin	Colo	level A
CD70	CD70 molecule	Lymph	level B
LAMA1	laminin subunit alpha 1	Head	level C
CFAP58	cilia and flagella associated protein 58	Endo	level D
WBP1	WW domain binding protein 1	GaEso	level C
ITGA6	integrin subunit alpha 6	GaEso	level B
STRIP2	striatin interacting protein 2	GaEso	level D
SETD1B	SET domain containing 1B	Panc	level A
TLE1	transducin like enhancer of split 1	Endo	level C
NXF1	nuclear RNA export factor 1	Blood	level C
HERC2	HECT and RLD domain containing E3 ubiquitin protein ligase 2	KiNCl	level C
ANKRD30A	ankyrin repeat domain 30A	Lymph	level C
TAOK1	TAO kinase 1	Pleura	level C
