Gene Symbol	Name	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome
IDH1	"isocitrate dehydrogenase 1 (NADP+), soluble"	yes		glioblastoma		
IDH2	"isocitrate dehydrogenase 2 (NADP+), mitochondrial"	yes		glioblastoma		
IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	yes		lymphoma		
IGH	immunoglobulin heavy locus	yes		"MM, Burkitt lymphoma, NHL, CLL, B-ALL, MALT, MLCLS"		
IGK	immunoglobulin kappa locus	yes		"Burkitt lymphoma, B-NHL"		
IGL	immunoglobulin lambda locus	yes		Burkitt lymphoma		
IKBKB	"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta"	yes		SMZL		
IKZF1	IKAROS family zinc finger 1	yes		"ALL, DLBCL"		
IL2	interleukin 2	yes		intestinal T-cell lymphoma		
IL21R	interleukin 21 receptor	yes		NHL		
IL6ST	"interleukin 6 signal transducer (gp130, oncostatin M receptor)"	yes		hepatocellular carcinoma		
IL7R	interleukin 7 receptor	yes		"ALL, ETP ALL"		
IRF4	interferon regulatory factor 4	yes		MM		
IRS4	insulin receptor substrate 4	yes		"glioma, rhabdomyosarcoma, melanoma, breast cancer, T-ALL"		
ISX	intestine specific homeobox	yes		melanoma		
ITGAV	integrin subunit alpha V	yes		large intestine carcinoma		
ITK	IL2-inducible T-cell kinase	yes		peripheral T-cell lymphoma		
JAK1	Janus kinase 1	yes		ALL		
JAK2	Janus kinase 2	yes		"ALL, AML, MPN,  CML"		
JAK3	Janus kinase 3	yes		"acute megakaryocytic leukaemia, ETP ALL"		
JAZF1	juxtaposed with another zinc finger gene 1	yes		endometrial stromal tumour		
JUN	jun oncogene	yes		sarcoma		
KAT6A	K(lysine) acetyltransferase 6A	yes		AML		
KAT6B	K(lysine) acetyltransferase 6B	yes		"AML, leiomyoma"		
KAT7	lysine acetyltransferase 7	yes		CCRCC		
KCNJ5	potassium inwardly-rectifying channel; subfamily J; member 5	yes		adrenal adenoma		
KDM5A	"lysine (K)-specific demethylase 5A, JARID1A"	yes		AML		
KDM5C	lysine (K)-specific demethylase 5C (JARID1C)	yes		clear cell renal carcinoma		
KDM6A	"lysine (K)-specific demethylase 6A, UTX"	yes		"renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types"		
KDR	vascular endothelial growth factor receptor 2	yes	yes	"NSCLC, angiosarcoma"	melanoma	
KDSR	3-ketodihydrosphingosine reductase	yes		B-NHL		
KEAP1	kelch like ECH associated protein 1	yes		"NSCLC, breast carcinoma"		
KIAA1549	KIAA1549	yes		pilocytic astrocytoma		
KIF5B	kinesin family member 5B	yes		"NSCLC, Spitzoid tumour"		
KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	yes	yes	"GIST, AML, TGCT, mastocytosis, mucosal melanoma"	"GIST, epithelioma"	familial gastrointestinal stromal tumour
KLF4	Kruppel-like factor 4	yes		meningioma		
KLF6	Kruppel-like factor 6	yes		"prostate, glioma"		
KLK2	kallikrein-related peptidase 2	yes		prostate		
KMT2A	lysine (K)-specific methyltransferase 2A	yes		"AML, ALL"		
KMT2C	lysine (K)-specific methyltransferase 2C	yes		medulloblastoma		
KMT2D	lysine (K)-specific methyltransferase 2D	yes		"medulloblastoma, renal"		
KNL1	cancer susceptibility candidate 5	yes		AML		
KNSTRN	kinetochore localized astrin/SPAG5 binding protein	yes		SCC		
KRAS	v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog	yes		"pancreatic, colorectal, lung, thyroid, AML, other tumour types"		
KTN1	kinectin 1 (kinesin receptor)	yes		papillary thyroid		
LARP4B	La ribonucleoprotein domain family member 4B	yes		"CRC, glioma"		
LASP1	LIM and SH3 protein 1	yes		AML		
LATS1	large tumor suppressor kinase 1	yes		skin basal cell carcinoma		
LATS2	large tumor suppressor kinase 2	yes		malignant mesothelioma		
LCK	lymphocyte-specific protein tyrosine kinase	yes		T-ALL		
LCP1	lymphocyte cytosolic protein 1 (L-plastin)	yes		NHL		
LEF1	lymphoid enhancer binding factor 1	yes		"B-ALL, T-ALL, eyelid sebaceous carcinoma, AML, lymphomas"		
LEPROTL1	leptin receptor overlapping transcript like 1	yes		"lung cancer, colon cancer"		
LHFPL6	lipoma HMGIC fusion partner	yes		lipoma		
LIFR	leukemia inhibitory factor receptor	yes		salivary adenoma		
LMNA	lamin A/C	yes		Spitzoid tumour		
LMO1	LIM domain only 1 (rhombotin 1) (RBTN1)	yes	yes	"T-ALL, neuroblastoma"	neuroblastoma	
LMO2	LIM domain only 2 (rhombotin-like 1) (RBTN2)	yes		T-ALL		
LPP	LIM domain containing preferred translocation partner in lipoma	yes		"lipoma, leukaemia"		
LRIG3	leucine-rich repeats and immunoglobulin-like domains 3	yes		NSCLC		
LRP1B	LDL receptor related protein 1B	yes		"CLL, ovarian cancer, oesophageal squamous cell carcinoma, urothelial cancer"		
LSM14A	"LSM14A, SCD6 homolog A (S. cerevisiae)"	yes		Spitzoid tumour		
LYL1	lymphoblastic leukemia derived sequence 1	yes		T-ALL		
LZTR1	leucine-zipper-like transcription regulator 1	yes	yes	glioblastoma	"glioblastoma, schwannoma"	Schwannomatosis-2
MACC1	MET transcriptional regulator MACC1	yes		"liver, CRC"		
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog	yes		MM		
MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	yes		MM		
MALAT1	metastasis associated lung adenocarcinoma transcript 1 ( lnc-RNA; non-protein coding)	yes		"renal cell carcinoma (childhood epithelioid), lung"		
MALT1	mucosa associated lymphoid tissue lymphoma translocation gene 1	yes		MALT		
MAML2	mastermind-like 2 (Drosophila)	yes		salivary gland mucoepidermoid		
MAP2K1	mitogen-activated protein kinase kinase 1	yes		"NSCLC, melanoma, colorectal"		
MAP2K2	mitogen-activated protein kinase kinase 2	yes		"NSCLC, melanoma"		
MAP2K4	mitogen-activated protein kinase kinase 4	yes		"pancreatic, breast, colorectal"		
MAP3K1	"mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase"	yes		luminal A breast		
MAP3K13	mitogen-activated protein kinase kinase kinase 13	yes		breast		
MAPK1	mitogen-activated protein kinase 1	yes		"CLL, ovarian mixed germ cell tumour, cervical carcinoma"		
MAX	Myc associated factor X	yes	yes	"pheochromocytoma, endometrioid carcinoma, colon carcinoma"	pheochromocytoma	
MB21D2	Mab-21 domain containing 2	yes		lung cancer		
MDM2	Mdm2 p53 binding protein homolog	yes		"sarcoma, glioma, colorectal, other tumour types"		
MDM4	Mdm4 p53 binding protein homolog	yes		"glioblastoma, bladder, retinoblastoma"		
MDS2	myelodysplastic syndrome 2	yes		MDS		
MECOM	MDS1 and EVI1 complex locus	yes		"AML, CML, MDS"		
MED12	mediator complex subunit 12	yes		"uterine leiomyoma, fibroadenoma, phyllodes tumour"		
MEN1	multiple endocrine neoplasia type 1 gene	yes	yes	"parathyroid tumours, pancreatic neuroendocrine tumour"	"parathyroid adenoma, pituitary adenoma, pancreatic islet cell, carcinoid"	multiple endocrine neoplasia type 1
MET	met proto-oncogene (hepatocyte growth factor receptor)	yes		"papillary renal, head-neck squamous cell"	papillary renal	familial papillary renal cancer
MGMT	O-6-methylguanine-DNA methyltransferase	yes		glioma		
MITF	melanogenesis-associated transcription factor	yes		melanoma		
MLF1	myeloid leukemia factor 1	yes		AML		
MLH1	E.coli MutL homolog gene	yes	yes	"colorectal, endometrial, ovarian, CNS tumours"	"colorectal, endometrial, ovarian, CNS"	"hereditary non-polyposis colorectal cancer, Turcot syndrome"
MLLT1	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1 (ENL)"	yes		AL		
MLLT10	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10 (AF10)"	yes		AL		
MLLT11	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11"	yes		ALL		
MLLT3	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3 (AF9)"	yes		ALL		
MLLT6	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6 (AF17)"	yes		AL		
MN1	"MN1 proto-oncogene, transcriptional regulator"	yes		"AML, MDS"		
MNX1	motor neuron and pancreas homeobox 1	yes		AML		
MPL	"myeloproliferative leukaemia virus oncogene, thrombopoietin receptor"	yes	yes	MPN	MPN	familial essential thrombocythemia
MRTFA	megakaryoblastic leukemia (translocation) 1	yes		acute megakaryocytic leukaemia		
MSH2	mutS homolog 2 (E. coli)	yes	yes	"colorectal, endometrial, ovarian"	"colorectal, endometrial, ovarian"	hereditary non-polyposis colorectal cancer
MSH6	mutS homolog 6 (E. coli)	yes	yes	colorectal	"colorectal, endometrial, ovarian"	hereditary non-polyposis colorectal cancer
MSI2	musashi homolog 2 (Drosophila)	yes		CML		
MSN	moesin	yes		ALCL		
MTCP1	mature T-cell proliferation 1	yes		T cell prolymphocytic leukaemia		
MTOR	mechanistic target of rapamycin	yes		"endometrial carcinoma, head and neck, clear cell renal cell carcinoma, anaplastic thyroid cancer, urothelial cell carcinoma, central nervous system tumours, testicular germ cell tumours and other tumour types"		
MUC1	"mucin 1, transmembrane"	yes		B-NHL		
MUC16	"mucin 16, cell surface associated"	yes		"HNSCC, melanoma"		
MUC4	"mucin 4, cell surface associated"	yes		HNSCC		
MUTYH	mutY homolog (E. coli)		yes		colorectal	adenomatous polyposis coli
MYB	v-myb myeloblastosis viral oncogene homolog	yes		adenoid cystic carcinoma		
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	yes		"Burkitt lymphoma, amplified in other cancers, B-CLL"		
MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog	yes		small cell lung carcinoma		
MYCN	"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)"	yes		"neuroblastoma, Wilms tumour"		
MYD88	myeloid differentiation primary response gene (88)	yes		ABC-DLBCL		
MYH11	"myosin, heavy polypeptide 11, smooth muscle"	yes		AML		
MYH9	"myosin, heavy polypeptide 9, non-muscle"	yes		ALCL		
MYO5A	"myosin VA (heavy chain 12, myoxin)"	yes		Spitzoid tumour		
MYOD1	myogenic differentiation 1	yes		embryonal rhabdomyosarcoma		
N4BP2	NEDD4 binding protein 2	yes		lung cancer		
NAB2	NGFI-A binding protein 2	yes		"solitary fibrous tumour, meningeal haemangiopericytoma"		
NACA	nascent-polypeptide-associated complex alpha polypeptide	yes		NHL		
NBEA	neurobeachin	yes		"large intestine carcinoma, multiple myeloma"		
NBN	nibrin		yes		"NHL, glioma, medulloblastoma, rhabdomyosarcoma"	Nijmegen breakage syndrome
NCKIPSD	NCK interacting protein with SH3 domain	yes		ALL		
NCOA1	nuclear receptor coactivator 1	yes		alveolar rhabdomyosarcoma		
NCOA2	nuclear receptor coactivator 2 (TIF2)	yes		"AML, chondrosarcoma, rhabdomyosarcoma"		
NCOA4	nuclear receptor coactivator 4 - PTC3 (ELE1)	yes		papillary thyroid		
NCOR1	nuclear receptor corepressor 1	yes		breast		
NCOR2	nuclear receptor corepressor 2	yes		prostate		
NDRG1	N-myc downstream regulated 1	yes		prostate		
NF1	neurofibromatosis type 1 gene	yes	yes	"neurofibroma, glioma"	"neurofibroma, glioma"	neurofibromatosis type 1
NF2	neurofibromatosis type 2 gene	yes	yes	"meningioma, acoustic neuroma, renal"	"meningioma, acoustic neuroma"	neurofibromatosis type 2
NFATC2	"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2"	yes		Ewing sarcoma		
NFE2L2	nuclear factor (erythroid-derived 2)-like 2 (NRF2)	yes		"NSCLC, HNSCC"		
NFIB	nuclear factor I/B	yes		"adenoid cystic carcinoma, lipoma"		
NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	yes		B-NHL		
NFKBIE	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon"	yes		"CLL, desmoplastic melanoma"		
NIN	ninein (GSK3B interacting protein)	yes		MPN		
NKX2-1	NK2 homeobox 1	yes		NSCLC		
NONO	"non-POU domain containing, octamer-binding"	yes		papillary renal		
NOTCH1	"Notch homolog 1, translocation-associated (Drosophila) (TAN1)"	yes		"T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC"		
NOTCH2	Notch homolog 2	yes		"marginal zone lymphoma, DLBCL, bladder"		
NPM1	"nucleophosmin (nucleolar phosphoprotein B23, numatrin)"	yes		"NHL, APL, AML"		
NR4A3	"nuclear receptor subfamily 4, group A, member 3 (NOR1)"	yes		extraskeletal myxoid chondrosarcoma		
NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	yes		"melanoma, MM, AML, thyroid"		
NRG1	neuregulin 1	yes		NSCLC		
NSD1	nuclear receptor binding SET domain protein 1	yes		AML		
NSD2	Wolf-Hirschhorn syndrome candidate 1(MMSET)	yes		MM		
NSD3	Wolf-Hirschhorn syndrome candidate 1-like 1 (NSD3)	yes		AML		
NT5C2	"5'-nucleotidase, cytosolic II"	yes		relapse ALL		
NTHL1	nth like DNA glycosylase 1		yes		CRC	Familial adenomatous polyposis
NTRK1	"neurotrophic tyrosine kinase, receptor, type 1"	yes		"papillary thyroid, Spitzoid tumour"		
NTRK3	"neurotrophic tyrosine kinase, receptor, type 3"	yes		"congenital fibrosarcoma, secretory breast"		
NUMA1	nuclear mitotic apparatus protein 1	yes		APL		
NUP214	nucleoporin 214kDa (CAN)	yes		"AML, T-ALL"		
NUP98	nucleoporin 98kDa	yes		AML		
NUTM1	"NUT midline carcinoma, family member 1"	yes		lethal midline carcinoma		
NUTM2B	NUT family member 2B	yes		endometrial stromal sarcoma		
NUTM2D	NUT family member 2A	yes		endometrial stromal sarcoma		
OLIG2	oligodendrocyte lineage transcription factor 2 (BHLHB1)	yes		T-ALL		
OMD	osteomodulin	yes		aneurysmal bone cyst		
P2RY8	"purinergic receptor P2Y, G-protein coupled, 8"	yes		"B-ALL, Down syndrome associated ALL"		
PABPC1	poly(A) binding protein cytoplasmic 1	yes		"HNSCC, biliary tract carcinoma"		
PAFAH1B2	"platelet-activating factor acetylhydrolase, isoform Ib, beta subunit 30kDa"	yes		MLCLS		
PALB2	partner and localizer of BRCA2		yes		"Wilms tumour, medulloblastoma, AML ,breast"	"Fanconi anaemia N, breast cancer susceptibility"
PATZ1	zinc finger protein 278 (ZSG)	yes		Ewing sarcoma		
PAX3	paired box gene 3	yes		alveolar rhabdomyosarcoma		
PAX5	paired box gene 5 (B-cell lineage specific activator protein)	yes		"NHL, ALL, B-ALL"		
PAX7	paired box gene 7	yes		alveolar rhabdomyosarcoma		
PAX8	paired box gene 8	yes		follicular thyroid		
PBRM1	polybromo 1	yes		"clear cell renal carcinoma, breast"		
PBX1	pre-B-cell leukemia transcription factor 1	yes		"pre B-ALL, myoepithelioma"		
PCBP1	poly(rC) binding protein 1	yes		CRC		
PCM1	pericentriolar material 1  (PTC4)	yes		"papillary thyroid, CML, MPN"		
PDCD1LG2	programmed cell death 1 ligand 2	yes		"PMBL, Hodgkin lymphoma"		
PDE4DIP	phosphodiesterase 4D interacting protein (myomegalin)	yes		MPN		
PDGFB	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)	yes		DFSP		
PDGFRA	"platelet-derived growth factor, alpha-receptor"	yes	yes	"GIST, idiopathic hypereosinophilic syndrome, paediatric glioblastoma"	GIST	familial gastrointestinal stromal tumour
PDGFRB	"platelet-derived growth factor receptor, beta polypeptide"	yes		"MPN, AML, CMML, CML"		
PER1	period homolog 1 (Drosophila)	yes		"AML, CMML"		
PHF6	PHD finger protein 6	yes		ETP ALL		
PHOX2B	paired-like homeobox 2b	yes	yes	neuroblastoma	neuroblastoma	familial neuroblastoma
PICALM	phosphatidylinositol binding clathrin assembly protein (CALM)	yes		"T-ALL, AML"		
PIK3CA	"phosphoinositide-3-kinase, catalytic, alpha polypeptide"	yes		"colorectal, gastric, glioblastoma, breast"		
PIK3CB	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"	yes		"SCC, NSCLC"		
PIK3R1	"phosphoinositide-3-kinase, regulatory subunit 1 (alpha)"	yes		"glioblastoma, ovarian, colorectal"		
PIM1	pim-1 oncogene	yes		NHL		
PLAG1	pleiomorphic adenoma gene 1	yes		"salivary adenoma, lipoblastoma"		
PLCG1	"phospholipase C, gamma 1"	yes		angiosarcoma		
PML	promyelocytic leukemia	yes		"APL, ALL"		
PMS1	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)		yes		"colorectal, endometrial, ovarian"	hereditary non-polyposis colorectal cancer
PMS2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)		yes		"colorectal, endometrial, ovarian, medulloblastoma, glioma"	"hereditary non-polyposis colorectal cancer, Turcot syndrome"
POLD1	"DNA polymerase delta 1, catalytic subunit"	yes	yes	CRC	CRC	Lynch syndrome
POLE	"polymerase (DNA directed), epsilon, catalytic subunit"	yes	yes	"colorectal carcinoma, endometrioid carcinoma, stomach carcinoma, skin cancer"	colorectal cancer susceptibility	
POLG	"DNA polymerase gamma, catalytic subunit"	yes		CRC		
POLQ	DNA polymerase theta	yes	yes	oral SCC	breast cancer	
POT1	protection of telomeres 1	yes		CLL		
POU2AF1	"POU domain, class 2, associating factor 1 (OBF1)"	yes		NHL		
POU5F1	"POU domain, class 5, transcription factor 1"	yes		sarcoma		
PPARG	"peroxisome proliferative activated receptor, gamma"	yes		follicular thyroid		
PPFIBP1	"PTPRF interacting protein, binding protein 1 (liprin beta 1)"	yes		"Spitzoid tumour, inflammatory myofibroblastic tumour"		
PPM1D	"protein phosphatase, Mg2+/Mn2+ dependent 1D"	yes		"glioma, ovarian cancer, breast cancer"		
PPP2R1A	"protein phosphatase 2, regulatory subunit A, alpha"	yes		clear cell ovarian carcinoma		
PPP6C	"protein phosphatase 6, catalytic subunit"	yes		melanoma		
PRCC	papillary renal cell carcinoma (translocation-associated)	yes		papillary renal		
PRDM1	"PR domain containing 1, with ZNF domain"	yes		DLBCL		
PRDM16	PR domain containing 16	yes		"MDS, AML"		
PRDM2	PR/SET domain 2	yes		"glioma, colon adenocarcinoma, gastric carcinoma, ovarian carcinoma, HNSCC"		
PREX2	"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2"	yes		"melanoma, pancreatic ductal adenocarcinoma"		
PRF1	perforin 1 (pore forming protein)		yes		"various leukaemia, lymphoma"	
PRKACA	protein kinase cAMP-activated catalytic subunit alpha	yes		"fibrolamellar hepatocellular carcinoma, cortisol secreting adrenal adenoma"		
PRKAR1A	"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"	yes	yes	papillary thyroid	"myxoma, endocrine, papillary thyroid"	Carney complex
PRKCB	protein kinase C beta	yes		adult T-cell lymphoma-leukaemia		
PRPF40B	pre-mRNA processing factor 40 homolog B	yes		"melanoma, colon carcinoma, MDS"		
PRRX1	paired related homeobox 1	yes		AML		
PSIP1	PC4 and SFRS1 interacting protein 1 (LEDGF)	yes		AML		
PTCH1	Homolog of Drosophila Patched gene	yes	yes	"skin basal cell, medulloblastoma"	"skin basal cell, medulloblastoma"	nevoid basal cell carcinoma syndrome
PTEN	phosphatase and tensin homolog gene	yes	yes	"glioma, prostate, endometrial"	"harmartoma, glioma, prostate, endometrial"	"Cowden syndrome, Bannayan-Riley-Ruvalcaba syndrome"
PTK6	protein tyrosine kinase 6	yes		"renal, gastric, head and neck, ovarian, others"		
PTPN11	"protein tyrosine phosphatase, non-receptor type 11"	yes		"JMML, AML, MDS"		
PTPN13	"protein tyrosine phosphatase, non-receptor type 13"	yes	yes	"lung, NSCLC, gastric, peritoneal carcinomatosis"	hepatocellular	Familial Hepatocellular Carcinoma
PTPN6	"protein tyrosine phosphatase, non-receptor type 6"	yes		DLBCL		
PTPRB	"protein tyrosine phosphatase, receptor type, B"	yes		angiosarcoma		
PTPRC	"protein tyrosine phosphatase, receptor type, C"	yes		T-ALL		
PTPRD	"protein tyrosine phosphatase, receptor type D"	yes		"lung cancer, kidney cancer, HNSCC, glioblastoma"		
PTPRK	"protein tyrosine phosphatase, receptor type, K"	yes		colorectal		
PTPRT	"protein tyrosine phosphatase, receptor type T"	yes		"HNSCC, colorectal cancer, gastric cancer, lung cancer, melanoma"		
PWWP2A	PWWP domain containing 2A	yes		Spitzoid tumour		
QKI	"QKI, KH domain containing, RNA binding"	yes		"angiocentric glioma, colorectal cancer"		
RABEP1	"rabaptin, RAB GTPase binding effector protein 1"	yes		CMML		
RAC1	"ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)"	yes		"melanoma, carcinoma"		
RAD17	RAD17 checkpoint clamp loader component	yes		"lymphoma, colon cancer"		
RAD21	RAD21 homolog (S. pombe)	yes		"AML, endometrium, colorectal, lung"		
RAD51B	RAD51 paralog B	yes		"lipoma, uterine leiomyoma"		
RAF1	v-raf-1 murine leukemia viral oncogene homolog 1	yes		"pilocytic astrocytoma, prostate"		
RALGDS	ral guanine nucleotide dissociation stimulator	yes		"PMBL, Hodgkin lymphoma,"		
RANBP2	RAN binding protein 2	yes		inflammatory myofibroblastic tumour		
RAP1GDS1	"RAP1, GTP-GDP dissociation stimulator 1"	yes		T-ALL		
RARA	"retinoic acid receptor, alpha"	yes		APL		
RB1	retinoblastoma gene	yes	yes	"retinoblastoma, sarcoma, breast, small cell lung carcinoma"	"retinoblastoma, sarcoma, breast, small cell lung carcinoma"	familial retinoblastoma
RBM10	RNA binding motif protein 10	yes		lung adenocarcinoma		
RBM15	RNA binding motif protein 15	yes		acute megakaryocytic leukaemia		
RECQL4	RecQ protein-like 4		yes		"osteosarcoma, skin basal cell, skin sqamous cell"	Rothmund-Thompson syndrome
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	yes		Hodgkin lymphoma		
RET	ret proto-oncogene	yes	yes	"medullary thyroid, papillary thyroid, pheochromocytoma, NSCLC, Spitzoid tumour"	"medullary thyroid,  papillary thyroid, pheochromocytoma"	multiple endocrine neoplasia 2A/2B
RFWD3	ring finger and WD repeat domain 3	yes	yes	lung cancer		Fanconi anemia W
RGPD3	RANBP2-like and GRIP domain containing 3	yes		endometrioid adenocarcinoma		
RGS7	regulator of G protein signaling 7	yes		melanoma		
RHOA	ras homolog family member A	yes		"diffuse gastric, T cell lymphomas, paediatric Burkitt lymphoma"		
RHOH	ras homolog family member H	yes		NHL		
RMI2	RecQ mediated genome instability 2	yes		"PMBL, Hodgkin lymphoma"		
RNF213	ring finger protein 213	yes		ALCL		
RNF43	ring finger protein 43	yes		"cholangiocarcinoma, ovary, pancreas"		
ROBO2	roundabout guidance receptor 2	yes		"colorectal adenocarcinoma, melanoma"		
ROS1	v-ros UR2 sarcoma virus oncogene homolog 1 (avian)	yes		"glioblastoma, NSCLC, Spitzoid tumour, cholangiocarcinoma, borderline ovarian"		
RPL10	ribosomal protein L10	yes		T-ALL		
RPL22	ribosomal protein L22 (EAP)	yes		"AML, CML"		
RPL5	ribososomal protein L5	yes		T-ALL		
RPN1	ribophorin I	yes		AML		
RSPO2	R-spondin 2	yes		colorectal		
RSPO3	R-spondin 3	yes		colorectal		
RUNX1	runt-related transcription factor 1  (AML1)	yes		"AML, pre B-ALL, T-ALL"		
RUNX1T1	"runt-related transcription factor 1; translocated to, 1 (cyclin D-related)"	yes		AML		
S100A7	S100 calcium binding protein A7	yes		"melanoma, T-cell lymphoma"		
SALL4	spalt like transcription factor 4	yes		"colorectal cancer, breast cancer, prostate cancer, glioblastoma, melanoma"		
SBDS	Shwachman-Bodian-Diamond syndrome protein		yes		"AML, MDS"	Schwachman-Diamond syndrome
SDC4	syndecan 4	yes		NSCLC		
SDHA	"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)"	yes	yes	"GIST, paraganglioma"	paraganglioma	paragangliomas-5 (PGL5)
SDHAF2	succinate dehydrogenase complex assembly factor 2		yes		paraganglioma	familial paraganglioma
SDHB	"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)"		yes		"paraganglioma, pheochromocytoma"	familial paraganglioma
SDHC	"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa"		yes		"paraganglioma, pheochromocytoma"	familial paraganglioma
SDHD	"succinate dehydrogenase complex, subunit D, integral membrane protein"		yes		"paraganglioma, pheochromocytoma"	familial paraganglioma
5-Sep	septin 5	yes		AML		
6-Sep	septin 6	yes		AML		
9-Sep	septin 9	yes		AML*		
SET	SET translocation	yes		T-ALL		
SETBP1	SET binding protein 1	yes	yes	"aCML, sAML, MDS/MPN-U, CMML, JMML"	neuroepithelial tumours	Schinzel-Giedion syndrome
SETD1B	SET domain containing 1B	yes		"CRC, endometrium"		
SETD2	SET domain containing 2	yes		clear cell renal carcinoma		
SETDB1	SET domain bifurcated 1	yes		malignant mesothelioma		
SF3B1	"splicing factor 3b, subunit 1, 155kDa"	yes		myelodysplastic syndrome		
SFPQ	splicing factor proline/glutamine rich(polypyrimidine tract binding protein associated)	yes		papillary renal		
SFRP4	secreted frizzled related protein 4	yes		"colorectal cancer, melanoma, SCC, gastric cancer, oesophageal SCC"		
SGK1	serum/glucocorticoid regulated kinase 1	yes		Nodular lymphocyte predominant Hodgkin lymphoma		
SH2B3	SH2B adaptor protein 3	yes		"MPN, sAML, erythrocytosis, B-ALL"		
SH3GL1	SH3-domain GRB2-like 1 (EEN)	yes		AL		
SHTN1	KIAA1598	yes		Spitzoid tumour		
SIRPA	signal regulatory protein alpha	yes		"HNSCC, colorectal cancer, Lung SCC"		
SIX1	SIX homeobox 1	yes		Wilms tumour		
SIX2	SIX homeobox 2	yes		Wilms tumour		
SKI	SKI proto-oncogene	yes		melanoma		
SLC34A2	"solute carrier family 34 (sodium phosphate), member 2"	yes		NSCLC		
SLC45A3	"solute carrier family 45, member 3"	yes		prostate		
SMAD2	SMAD family member 2	yes		"colorectal carcinoma, hepatocellular carcinoma"		
SMAD3	SMAD family member 3	yes		"colorectal carcinoma, oral squamous cell carcinoma"		
SMAD4	SMAD family member 4	yes	yes	"colorectal, pancreatic, small intestine"	gastrointestinal polyp	juvenile polyposis
SMARCA4	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"	yes		"NSCLC, SCCOHT"		
SMARCB1	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"	yes	yes	malignant rhabdoid	malignant rhabdoid	rhabdoid predisposition syndrome
SMARCD1	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1"	yes		breast		
SMARCE1	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1"		yes		meningioma	
SMC1A	structural maintenance of chromosomes 1A	yes		AML		
SMO	smoothened homolog (Drosophila)	yes		skin basal cell		
SND1	staphylococcal nuclease and tudor domain containing 1	yes		pancreas acinar carcinoma		
SNX29	RUN domain containing 2A	yes		"PMBL, Hodgkin lymphoma"		
SOCS1	suppressor of cytokine signaling 1	yes		"Hodgkin lymphoma, PMBL"		
SOX2	SRY (sex determining region Y)-box 2	yes		"NSCLC, oesophageal squamous carcinoma"		
SOX21	SRY-box 21	yes		multiple myeloma		
SPECC1	sperm antigen with calponin homology and coiled-coil domains 1	yes		JMML		
SPEN	spen family transcriptional repressor	yes		"SMZL, adenoid cystic carcinoma, DLBCL"		
SPOP	speckle type POZ protein	yes	yes	"prostate, endometrial"	prostate cancer	
SRC	"SRC proto-oncogene, non-receptor tyrosine kinase"	yes		"colorectal cancer, endometrial carcinoma"		
SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	yes		pilocytic astrocytoma		
